    97,156ms ID:00014E89 Pr:00000000             0 +         7,023 A9955C9D4613D15F154CD92A0463DBA1          ReleaseRequest(): Success "campaigns\voidstory.sc2campaign\enus.sc2assets" "LocalizedData/Sounds/VO/Ambient_TaldarimHero_TaldarimHero_010.fxe"
    97,156ms ID:00014EB4 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ProcessUnprocessedRequests(): Request already completed "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/CliffMeshData.xml"
    97,156ms ID:00014EB4 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ReleaseRequest(): Success "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/CliffMeshData.xml"
    97,156ms ID:00014EB5 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          RequestFile() "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/CharacterData.xml"
    97,156ms ID:00014EB5 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ProcessUnprocessedRequests(): Request already completed "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/CharacterData.xml"
    97,156ms ID:00014EB5 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ReleaseRequest(): Success "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/CharacterData.xml"
    97,156ms ID:00014EB6 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          RequestFile() "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/CursorData.xml"
    97,156ms ID:00014EB6 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ProcessUnprocessedRequests(): Request already completed "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/CursorData.xml"
    97,156ms ID:00014EB6 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ReleaseRequest(): Success "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/CursorData.xml"
    97,156ms ID:00014EB7 Pr:00000000             0 +     1,354,333 75CE8242AA1F1A9070DC3EC270A223EF          RequestFile() "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/SoundData.xml"
    97,156ms ID:00014EB7 Pr:00000000             0 +     1,354,333 75CE8242AA1F1A9070DC3EC270A223EF          ProcessUnprocessedRequests(): Request already completed "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/SoundData.xml"
    97,156ms ID:00014EB7 Pr:00000000             0 +     1,354,333 75CE8242AA1F1A9070DC3EC270A223EF          ReleaseRequest(): Success "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/SoundData.xml"
    97,156ms ID:00014EB8 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          RequestFile() "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/SoundExclusivityData.xml"
    97,156ms ID:00014EB8 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ProcessUnprocessedRequests(): Request already completed "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/SoundExclusivityData.xml"
    97,156ms ID:00014EB8 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ReleaseRequest(): Success "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/SoundExclusivityData.xml"
    97,156ms ID:00014EB9 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          RequestFile() "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/SoundMixSnapshotData.xml"
    97,156ms ID:00014EB9 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ProcessUnprocessedRequests(): Request already completed "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/SoundMixSnapshotData.xml"
    97,156ms ID:00014EB9 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ReleaseRequest(): Success "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/SoundMixSnapshotData.xml"
    97,156ms ID:00014EBA Pr:00000000             0 +         2,813 4CD1F62AB4BEFD96C1684816D436D428          RequestFile() "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/SoundtrackData.xml"
    97,156ms ID:00014EBA Pr:00000000             0 +         2,813 4CD1F62AB4BEFD96C1684816D436D428          ProcessUnprocessedRequests(): Request already completed "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/SoundtrackData.xml"
    97,156ms ID:00014EBA Pr:00000000             0 +         2,813 4CD1F62AB4BEFD96C1684816D436D428          ReleaseRequest(): Success "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/SoundtrackData.xml"
    97,156ms ID:00014EBB Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          RequestFile() "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/ScoreResultData.xml"
    97,156ms ID:00014EBB Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ProcessUnprocessedRequests(): Request already completed "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/ScoreResultData.xml"
    97,156ms ID:00014EBB Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ReleaseRequest(): Success "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/ScoreResultData.xml"
    97,156ms ID:00014EBC Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          RequestFile() "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/ScoreValueData.xml"
    97,156ms ID:00014EBC Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ProcessUnprocessedRequests(): Request already completed "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/ScoreValueData.xml"
    97,156ms ID:00014EBC Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ReleaseRequest(): Success "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/ScoreValueData.xml"
    97,156ms ID:00014EBD Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          RequestFile() "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/SkinData.xml"
    97,156ms ID:00014EBD Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ProcessUnprocessedRequests(): Request already completed "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/SkinData.xml"
    97,156ms ID:00014EBD Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ReleaseRequest(): Success "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/SkinData.xml"
    97,156ms ID:00014EBE Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          RequestFile() "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/SkinPackData.xml"
    97,156ms ID:00014EBE Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ProcessUnprocessedRequests(): Request already completed "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/SkinPackData.xml"
    97,156ms ID:00014EBE Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ReleaseRequest(): Success "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/SkinPackData.xml"
    97,156ms ID:00014EBF Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          RequestFile() "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/ShapeData.xml"
    97,156ms ID:00014EBF Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ProcessUnprocessedRequests(): Request already completed "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/ShapeData.xml"
    97,156ms ID:00014EBF Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ReleaseRequest(): Success "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/ShapeData.xml"
    97,156ms ID:00014EC0 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          RequestFile() "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/SprayPackData.xml"
    97,156ms ID:00014EC0 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ProcessUnprocessedRequests(): Request already completed "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/SprayPackData.xml"
    97,156ms ID:00014EC0 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ReleaseRequest(): Success "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/SprayPackData.xml"
    97,156ms ID:00014EC1 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          RequestFile() "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/BeamData.xml"
    97,156ms ID:00014EC1 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ProcessUnprocessedRequests(): Request already completed "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/BeamData.xml"
    97,156ms ID:00014EC1 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ReleaseRequest(): Success "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/BeamData.xml"
    97,156ms ID:00014EC2 Pr:00000000             0 +           429 3FBA995AB99DB1CF1A7B619F12ADE12F          RequestFile() "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/BehaviorData.xml"
    97,156ms ID:00014EC2 Pr:00000000             0 +           429 3FBA995AB99DB1CF1A7B619F12ADE12F          ProcessUnprocessedRequests(): Request already completed "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/BehaviorData.xml"
    97,156ms ID:00014EC2 Pr:00000000             0 +           429 3FBA995AB99DB1CF1A7B619F12ADE12F          ReleaseRequest(): Success "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/BehaviorData.xml"
    97,156ms ID:00014EC3 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          RequestFile() "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/BundleData.xml"
    97,156ms ID:00014EC3 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ProcessUnprocessedRequests(): Request already completed "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/BundleData.xml"
    97,156ms ID:00014EC3 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ReleaseRequest(): Success "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/BundleData.xml"
    97,156ms ID:00014EC4 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          RequestFile() "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/ButtonData.xml"
    97,156ms ID:00014EC4 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ProcessUnprocessedRequests(): Request already completed "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/ButtonData.xml"
    97,156ms ID:00014EC4 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ReleaseRequest(): Success "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/ButtonData.xml"
    97,156ms ID:00014EC5 Pr:00000000             0 +        82,722 6C49F1916C624AC73F036AF2C22027ED          RequestFile() "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/BankConditionData.xml"
    97,156ms ID:00014EC5 Pr:00000000             0 +        82,722 6C49F1916C624AC73F036AF2C22027ED          ProcessUnprocessedRequests(): Request already completed "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/BankConditionData.xml"
    97,156ms ID:00014EC5 Pr:00000000             0 +        82,722 6C49F1916C624AC73F036AF2C22027ED          ReleaseRequest(): Success "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/BankConditionData.xml"
    97,156ms ID:00014EC6 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          RequestFile() "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/BoostData.xml"
    97,156ms ID:00014EC6 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ProcessUnprocessedRequests(): Request already completed "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/BoostData.xml"
    97,156ms ID:00014EC6 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ReleaseRequest(): Success "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/BoostData.xml"
    97,156ms ID:00014EC7 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          RequestFile() "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/HeroAbilData.xml"
    97,156ms ID:00014EC7 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ProcessUnprocessedRequests(): Request already completed "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/HeroAbilData.xml"
    97,156ms ID:00014EC7 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ReleaseRequest(): Success "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/HeroAbilData.xml"
    97,156ms ID:00014EC8 Pr:00000000             0 +           902 AEF9E774D9A54B0685477033647234A8          RequestFile() "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/HeroData.xml"
    97,156ms ID:00014EC8 Pr:00000000             0 +           902 AEF9E774D9A54B0685477033647234A8          ProcessUnprocessedRequests(): Request already completed "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/HeroData.xml"
    97,156ms ID:00014EC8 Pr:00000000             0 +           902 AEF9E774D9A54B0685477033647234A8          ReleaseRequest(): Success "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/HeroData.xml"
    97,156ms ID:00014EC9 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          RequestFile() "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/HeroStatData.xml"
    97,156ms ID:00014EC9 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ProcessUnprocessedRequests(): Request already completed "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/HeroStatData.xml"
    97,156ms ID:00014EC9 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ReleaseRequest(): Success "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/HeroStatData.xml"
    97,156ms ID:00014ECA Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          RequestFile() "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/HerdData.xml"
    97,156ms ID:00014ECA Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ProcessUnprocessedRequests(): Request already completed "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/HerdData.xml"
    97,156ms ID:00014ECA Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ReleaseRequest(): Success "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/HerdData.xml"
    97,156ms ID:00014ECB Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          RequestFile() "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/HerdNodeData.xml"
    97,156ms ID:00014ECB Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ProcessUnprocessedRequests(): Request already completed "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/HerdNodeData.xml"
    97,156ms ID:00014ECB Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ReleaseRequest(): Success "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/HerdNodeData.xml"
    97,156ms ID:00014ECC Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          RequestFile() "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/RequirementData.xml"
    97,156ms ID:00014ECC Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ProcessUnprocessedRequests(): Request already completed "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/RequirementData.xml"
    97,156ms ID:00014ECC Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ReleaseRequest(): Success "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/RequirementData.xml"
    97,156ms ID:00014ECD Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          RequestFile() "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/RequirementNodeData.xml"
    97,156ms ID:00014ECD Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ProcessUnprocessedRequests(): Request already completed "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/RequirementNodeData.xml"
    97,156ms ID:00014ECD Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ReleaseRequest(): Success "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/RequirementNodeData.xml"
    97,156ms ID:00014ECE Pr:00000000             0 +         6,268 EC48677854BF7AE146FBBE8AF88D4648          RequestFile() "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/ReverbData.xml"
    97,156ms ID:00014ECE Pr:00000000             0 +         6,268 EC48677854BF7AE146FBBE8AF88D4648          ProcessUnprocessedRequests(): Request already completed "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/ReverbData.xml"
    97,156ms ID:00014ECE Pr:00000000             0 +         6,268 EC48677854BF7AE146FBBE8AF88D4648          ReleaseRequest(): Success "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/ReverbData.xml"
    97,156ms ID:00014ECF Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          RequestFile() "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/RewardData.xml"
    97,156ms ID:00014ECF Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ProcessUnprocessedRequests(): Request already completed "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/RewardData.xml"
    97,156ms ID:00014ECF Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ReleaseRequest(): Success "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/RewardData.xml"
    97,156ms ID:00014ED0 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          RequestFile() "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/RaceData.xml"
    97,156ms ID:00014ED0 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ProcessUnprocessedRequests(): Request already completed "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/RaceData.xml"
    97,156ms ID:00014ED0 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ReleaseRequest(): Success "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/RaceData.xml"
    97,156ms ID:00014ED1 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          RequestFile() "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/EmoticonData.xml"
    97,156ms ID:00014ED1 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ProcessUnprocessedRequests(): Request already completed "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/EmoticonData.xml"
    97,156ms ID:00014ED1 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ReleaseRequest(): Success "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/EmoticonData.xml"
    97,156ms ID:00014ED2 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          RequestFile() "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/EmoticonPackData.xml"
    97,156ms ID:00014ED2 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ProcessUnprocessedRequests(): Request already completed "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/EmoticonPackData.xml"
    97,156ms ID:00014ED2 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ReleaseRequest(): Success "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/EmoticonPackData.xml"
    97,156ms ID:00014ED3 Pr:00000000             0 +           166 9AD9BAE4A187DFDE8881064249A96E9B          RequestFile() "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/EffectData.xml"
    97,156ms ID:00014ED3 Pr:00000000             0 +           166 9AD9BAE4A187DFDE8881064249A96E9B          ProcessUnprocessedRequests(): Request already completed "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/EffectData.xml"
    97,156ms ID:00014ED3 Pr:00000000             0 +           166 9AD9BAE4A187DFDE8881064249A96E9B          ReleaseRequest(): Success "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/EffectData.xml"
    97,156ms ID:00014ED4 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          RequestFile() "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/ErrorData.xml"
    97,156ms ID:00014ED4 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ProcessUnprocessedRequests(): Request already completed "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/ErrorData.xml"
    97,156ms ID:00014ED4 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ReleaseRequest(): Success "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/ErrorData.xml"
    97,156ms ID:00014ED5 Pr:00000000             0 +         2,261 8946DFD5B2734AE070AEBC2ACB43BAD6          RequestFile() "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/LocationData.xml"
    97,156ms ID:00014ED5 Pr:00000000             0 +         2,261 8946DFD5B2734AE070AEBC2ACB43BAD6          ProcessUnprocessedRequests(): Request already completed "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/LocationData.xml"
    97,156ms ID:00014ED5 Pr:00000000             0 +         2,261 8946DFD5B2734AE070AEBC2ACB43BAD6          ReleaseRequest(): Success "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/LocationData.xml"
    97,156ms ID:00014ED6 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          RequestFile() "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/LootData.xml"
    97,156ms ID:00014ED6 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ProcessUnprocessedRequests(): Request already completed "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/LootData.xml"
    97,156ms ID:00014ED6 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ReleaseRequest(): Success "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/LootData.xml"
    97,156ms ID:00014ED7 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          RequestFile() "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/LensFlareSetData.xml"
    97,156ms ID:00014ED7 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ProcessUnprocessedRequests(): Request already completed "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/LensFlareSetData.xml"
    97,156ms ID:00014ED7 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ReleaseRequest(): Success "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/LensFlareSetData.xml"
    97,156ms ID:00014ED8 Pr:00000000             0 +       540,375 6D52B0DA6868F29AD306B277023B9915          RequestFile() "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/LightData.xml"
    97,156ms ID:00014ED8 Pr:00000000             0 +       540,375 6D52B0DA6868F29AD306B277023B9915          ProcessUnprocessedRequests(): Request already completed "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/LightData.xml"
    97,156ms ID:00014ED8 Pr:00000000             0 +       540,375 6D52B0DA6868F29AD306B277023B9915          ReleaseRequest(): Success "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/LightData.xml"
    97,156ms ID:00014ED9 Pr:00000000             0 +       255,506 1093AC3093C4C472369A2CCACBE7E15E          RequestFile() "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/ModelData.xml"
    97,156ms ID:00014ED9 Pr:00000000             0 +       255,506 1093AC3093C4C472369A2CCACBE7E15E          ProcessUnprocessedRequests(): Request already completed "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/ModelData.xml"
    97,156ms ID:00014ED9 Pr:00000000             0 +       255,506 1093AC3093C4C472369A2CCACBE7E15E          ReleaseRequest(): Success "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/ModelData.xml"
    97,156ms ID:00014EDA Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          RequestFile() "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/MountData.xml"
    97,156ms ID:00014EDA Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ProcessUnprocessedRequests(): Request already completed "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/MountData.xml"
    97,156ms ID:00014EDA Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ReleaseRequest(): Success "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/MountData.xml"
    97,156ms ID:00014EDB Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          RequestFile() "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/MoverData.xml"
    97,156ms ID:00014EDB Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ProcessUnprocessedRequests(): Request already completed "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/MoverData.xml"
    97,156ms ID:00014EDB Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ReleaseRequest(): Success "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/MoverData.xml"
    97,156ms ID:00014EDC Pr:00000000             0 +        14,885 BEDF1CD915E93C0A590FEB03A730E58E          RequestFile() "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/MapData.xml"
    97,156ms ID:00014EDC Pr:00000000             0 +        14,885 BEDF1CD915E93C0A590FEB03A730E58E          ProcessUnprocessedRequests(): Request already completed "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/MapData.xml"
    97,156ms ID:00014EDC Pr:00000000             0 +        14,885 BEDF1CD915E93C0A590FEB03A730E58E          ReleaseRequest(): Success "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/MapData.xml"
    97,156ms ID:00014EDD Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          RequestFile() "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/PhysicsMaterialData.xml"
    97,156ms ID:00014EDD Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ProcessUnprocessedRequests(): Request already completed "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/PhysicsMaterialData.xml"
    97,156ms ID:00014EDD Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ReleaseRequest(): Success "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/PhysicsMaterialData.xml"
    97,156ms ID:00014EDE Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          RequestFile() "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/PingData.xml"
    97,156ms ID:00014EDE Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ProcessUnprocessedRequests(): Request already completed "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/PingData.xml"
    97,156ms ID:00014EDE Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ReleaseRequest(): Success "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/PingData.xml"
    97,156ms ID:00014EDF Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          RequestFile() "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/PortraitPackData.xml"
    97,156ms ID:00014EDF Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ProcessUnprocessedRequests(): Request already completed "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/PortraitPackData.xml"
    97,156ms ID:00014EDF Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ReleaseRequest(): Success "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/PortraitPackData.xml"
    97,156ms ID:00014EE0 Pr:00000000             0 +       180,461 17B34FD3455579CD791245C9D9B66628          RequestFile() "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/PreloadData.xml"
    97,156ms ID:00014EE0 Pr:00000000             0 +       180,461 17B34FD3455579CD791245C9D9B66628          ProcessUnprocessedRequests(): Request already completed "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/PreloadData.xml"
