13,808,984ms ID:000F7E49 Pr:00000000             0 +         5,904 C6A345E96080AA31A5E82820D5FC4F79          ReleaseRequest(): Success "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Textures\btn-command-returncargo.dds"
13,808,984ms ID:000F7E7D Pr:00000000             0 +       420,432 ECA6540964911CE94A0EF081E5D4085B          StreamingThreadProc(): Calling Callback: success = true "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Units\Terran\VikingMorph\VikingMorph.m3"
13,808,984ms ID:000F7E7D Pr:00000000             0 +       420,432 ECA6540964911CE94A0EF081E5D4085B          ReleaseRequest(): Success "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Units\Terran\VikingMorph\VikingMorph.m3"
13,808,984ms ID:000F7E7E Pr:00000000             0 +       210,384 93FF1927D4E77DA71496411DE1FE1AE7          StreamingThreadProc(): Calling Callback: success = true "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Effects\Protoss\ProtossCloakingEffect\ProtossCloakingEffect.m3"
13,808,984ms ID:000F7E7E Pr:00000000             0 +       210,384 93FF1927D4E77DA71496411DE1FE1AE7          ReleaseRequest(): Success "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Effects\Protoss\ProtossCloakingEffect\ProtossCloakingEffect.m3"
13,808,984ms ID:000F7E7F Pr:00000000             0 +        19,728 2B9C40444ED287D652CB96F56D01EA2A          StreamingThreadProc(): Calling Callback: success = true "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Textures\Wireframe-Terran-PointDefenseDrone.dds"
13,808,984ms ID:000F7E7F Pr:00000000             0 +        19,728 2B9C40444ED287D652CB96F56D01EA2A          ReleaseRequest(): Success "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Textures\Wireframe-Terran-PointDefenseDrone.dds"
13,808,984ms ID:000F7E80 Pr:00000000             0 +       363,712 AEE5EC7DB7F122864B57B14BA055179D          StreamingThreadProc(): Calling Callback: success = true "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Units\Terran\Reaper\Reaper.m3"
13,808,984ms ID:000F7E80 Pr:00000000             0 +       363,712 AEE5EC7DB7F122864B57B14BA055179D          ReleaseRequest(): Success "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Units\Terran\Reaper\Reaper.m3"
13,808,984ms ID:000F7E81 Pr:00000000             0 +         5,616 3D6A22867B59745F5FD0B40EBB8D2C5C          StreamingThreadProc(): Calling Callback: success = true "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Textures\KorhalPlatform_6.lvl0"
13,808,984ms ID:000F7E81 Pr:00000000             0 +         5,616 3D6A22867B59745F5FD0B40EBB8D2C5C          ReleaseRequest(): Success "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Textures\KorhalPlatform_6.lvl0"
13,808,984ms ID:000F7E82 Pr:00000000             0 +        40,496 985952EFEFD0DAD08115F2E3F181F3B7          StreamingThreadProc(): Calling Callback: success = true "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Effects\Terran\WidowMineLight\WidowMineLight.m3"
13,808,984ms ID:000F7E82 Pr:00000000             0 +        40,496 985952EFEFD0DAD08115F2E3F181F3B7          ReleaseRequest(): Success "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Effects\Terran\WidowMineLight\WidowMineLight.m3"
13,808,984ms ID:000F7E83 Pr:00000000             0 +        27,512 497E19303CC49335F7A76632135F9409          StreamingThreadProc(): Calling Callback: success = true "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Sounds\Zerg\Queen\Queen_Attack0.ogg"
13,808,984ms ID:000F7E83 Pr:00000000             0 +        27,512 497E19303CC49335F7A76632135F9409          ReleaseRequest(): Success "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Sounds\Zerg\Queen\Queen_Attack0.ogg"
13,808,984ms ID:000F7E84 Pr:00000000             0 +        19,728 2063399D4DE8A3327FD7EC4B49647B48          StreamingThreadProc(): Calling Callback: success = true "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Textures\Wireframe-Zerg-NydusDragon.dds"
13,808,984ms ID:000F7E84 Pr:00000000             0 +        19,728 2063399D4DE8A3327FD7EC4B49647B48          ReleaseRequest(): Success "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Textures\Wireframe-Zerg-NydusDragon.dds"
13,808,984ms ID:000F7E85 Pr:00000000             0 +         5,904 25564CE714FB7AF478B62B0D09275F20          StreamingThreadProc(): Calling Callback: success = true "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Textures\btn-unit-zerg-nyduscreeptower.dds"
13,808,984ms ID:000F7E85 Pr:00000000             0 +         5,904 25564CE714FB7AF478B62B0D09275F20          ReleaseRequest(): Success "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Textures\btn-unit-zerg-nyduscreeptower.dds"
13,808,984ms ID:000F7E86 Pr:00000000             0 +        17,760 64B31FED77A77C057FDE89644E5F5817          StreamingThreadProc(): Calling Callback: success = true "Mods\Liberty.SC2Mod\Base.SC2Assets" "assets\textures\smx3_nova_portrait_static.dds"
13,808,984ms ID:000F7E86 Pr:00000000             0 +        17,760 64B31FED77A77C057FDE89644E5F5817          ReleaseRequest(): Success "Mods\Liberty.SC2Mod\Base.SC2Assets" "assets\textures\smx3_nova_portrait_static.dds"
13,808,984ms ID:000F7E87 Pr:00000000             0 +         4,224 4C923F8AF236D2802BFC4F3A566B2925          StreamingThreadProc(): Calling Callback: success = true "Mods\Liberty.SC2Mod\Base.SC2Assets" "assets\textures\btn-border-protoss-equipment.dds"
13,808,984ms ID:000F7E87 Pr:00000000             0 +         4,224 4C923F8AF236D2802BFC4F3A566B2925          ReleaseRequest(): Success "Mods\Liberty.SC2Mod\Base.SC2Assets" "assets\textures\btn-border-protoss-equipment.dds"
13,808,984ms ID:000F7E88 Pr:00000000             0 +         5,904 264FF0ED9C5B6AE426DB4C5A7A6C2463          StreamingThreadProc(): Calling Callback: success = true "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Textures\btn-unit-protoss-zealot.dds"
13,808,984ms ID:000F7E88 Pr:00000000             0 +         5,904 264FF0ED9C5B6AE426DB4C5A7A6C2463          ReleaseRequest(): Success "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Textures\btn-unit-protoss-zealot.dds"
13,808,984ms ID:000F7E89 Pr:00000000             0 +        49,980 68F28BD1FB44300442522E460B4D3A3A          StreamingThreadProc(): Calling Callback: success = true "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Sounds\Spell_Consumption_Launch_00.wav"
13,808,984ms ID:000F7E89 Pr:00000000             0 +        49,980 68F28BD1FB44300442522E460B4D3A3A          ReleaseRequest(): Success "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Sounds\Spell_Consumption_Launch_00.wav"
13,808,984ms ID:000F7E8A Pr:00000000             0 +         5,904 95006D7F0352B811999B3C60919E1368          StreamingThreadProc(): Calling Callback: success = true "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Textures\BTN-upgrade-terran-buildingarmor.dds"
13,808,984ms ID:000F7E8A Pr:00000000             0 +         5,904 95006D7F0352B811999B3C60919E1368          ReleaseRequest(): Success "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Textures\BTN-upgrade-terran-buildingarmor.dds"
13,808,984ms ID:000F7E8B Pr:00000000             0 +         5,904 95006D7F0352B811999B3C60919E1368          StreamingThreadProc(): Calling Callback: success = true "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Textures\btn-upgrade-terran-buildingarmor.dds"
13,808,984ms ID:000F7E8B Pr:00000000             0 +         5,904 95006D7F0352B811999B3C60919E1368          ReleaseRequest(): Success "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Textures\btn-upgrade-terran-buildingarmor.dds"
13,808,984ms ID:000F7E8C Pr:00000000             0 +       278,560 842C9E14DB5A1390C2699816D1EBE544          StreamingThreadProc(): Calling Callback: success = true "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Buildings\Terran\SupplyPodFalling_Ex3\SupplyPodFalling_Ex3.m3"
13,808,984ms ID:000F7E8C Pr:00000000             0 +       278,560 842C9E14DB5A1390C2699816D1EBE544          ReleaseRequest(): Success "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Buildings\Terran\SupplyPodFalling_Ex3\SupplyPodFalling_Ex3.m3"
13,808,984ms ID:000F7E8D Pr:00000000             0 +        42,044 8C6382BDC9D967F3158B847BCD191A3C          StreamingThreadProc(): Calling Callback: success = true "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Sounds\Doodad_Eggsplosion_Death_00.wav"
13,808,984ms ID:000F7E8D Pr:00000000             0 +        42,044 8C6382BDC9D967F3158B847BCD191A3C          ReleaseRequest(): Success "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Sounds\Doodad_Eggsplosion_Death_00.wav"
13,808,984ms ID:000F7E8E Pr:00000000             0 +        12,624 8CD4E400BC27C511DC35B2185281BE99          StreamingThreadProc(): Calling Callback: success = true "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Effects\Terran\TargetingDroneBeam\TargetingDroneBeam.m3"
13,808,984ms ID:000F7E8E Pr:00000000             0 +        12,624 8CD4E400BC27C511DC35B2185281BE99          ReleaseRequest(): Success "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Effects\Terran\TargetingDroneBeam\TargetingDroneBeam.m3"
13,808,984ms ID:000F7E8F Pr:00000000             0 +        35,392 3F5D52D590AAC69D928EE8A8AF4FF2A2          StreamingThreadProc(): Calling Callback: success = true "Campaigns\Liberty.SC2Campaign\Base.SC2Assets" "Assets\Textures\DiamondbackPortrait_Static.dds"
13,808,984ms ID:000F7E8F Pr:00000000             0 +        35,392 3F5D52D590AAC69D928EE8A8AF4FF2A2          ReleaseRequest(): Success "Campaigns\Liberty.SC2Campaign\Base.SC2Assets" "Assets\Textures\DiamondbackPortrait_Static.dds"
13,808,984ms ID:000F7E90 Pr:00000000             0 +         8,288 2760C0F09E05965C95E0ED7717CFFF9B          StreamingThreadProc(): Calling Callback: success = true "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Splats\Splat_MissileTurret\Splat_MissileTurret.m3"
13,808,984ms ID:000F7E90 Pr:00000000             0 +         8,288 2760C0F09E05965C95E0ED7717CFFF9B          ReleaseRequest(): Success "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Splats\Splat_MissileTurret\Splat_MissileTurret.m3"
13,808,984ms ID:000F7E91 Pr:00000000             0 +        19,728 2380A59D9E9C05C7847144004C86C18A          StreamingThreadProc(): Calling Callback: success = true "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Textures\Wireframe-Terran-mule.dds"
13,808,984ms ID:000F7E91 Pr:00000000             0 +        19,728 2380A59D9E9C05C7847144004C86C18A          ReleaseRequest(): Success "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Textures\Wireframe-Terran-mule.dds"
13,808,984ms ID:000F7E92 Pr:00000000             0 +        73,776 424CC9098CDD9EF73AB3D1237BF172DA          StreamingThreadProc(): Calling Callback: success = true "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Effects\Zerg\QueenCreepBirth\QueenCreepBirth.m3"
13,808,984ms ID:000F7E92 Pr:00000000             0 +        73,776 424CC9098CDD9EF73AB3D1237BF172DA          ReleaseRequest(): Success "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Effects\Zerg\QueenCreepBirth\QueenCreepBirth.m3"
13,808,984ms ID:000F7E93 Pr:00000000             0 +        22,562 38C6DE8746C15852FC8D91F17B600C88          StreamingThreadProc(): Calling Callback: success = true "Campaigns\Liberty.SC2Campaign\enUS.SC2Assets" "LocalizedData\Sounds\TerranVO\CampaignUnits\Goliath\Goliath_Attack00.ogg"
13,808,984ms ID:000F7E93 Pr:00000000             0 +        22,562 38C6DE8746C15852FC8D91F17B600C88          ReleaseRequest(): Success "Campaigns\Liberty.SC2Campaign\enUS.SC2Assets" "LocalizedData\Sounds\TerranVO\CampaignUnits\Goliath\Goliath_Attack00.ogg"
13,808,984ms ID:000F7E94 Pr:00000000             0 +       202,448 46EF4AE51BACE20659E587405F35C134          StreamingThreadProc(): Calling Callback: success = true "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Units\Terran\BansheeMercenary\BansheeMercenary.m3"
13,808,984ms ID:000F7E94 Pr:00000000             0 +       202,448 46EF4AE51BACE20659E587405F35C134          ReleaseRequest(): Success "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Units\Terran\BansheeMercenary\BansheeMercenary.m3"
13,808,984ms ID:000F7E95 Pr:00000000             0 +        44,115 591B882A8ADBAB17F48D35FBE83D3A56          StreamingThreadProc(): Calling Callback: success = true "Mods\Liberty.SC2Mod\enUS.SC2Assets" "LocalizedData\Sounds\TerranUnitVO\Thor\Thor_Help00.ogg"
13,808,984ms ID:000F7E95 Pr:00000000             0 +        44,115 591B882A8ADBAB17F48D35FBE83D3A56          ReleaseRequest(): Success "Mods\Liberty.SC2Mod\enUS.SC2Assets" "LocalizedData\Sounds\TerranUnitVO\Thor\Thor_Help00.ogg"
13,808,984ms ID:000F7E96 Pr:00000000             0 +        35,392 2DBCD2793E94D8ED2FBF893AB891763B          StreamingThreadProc(): Calling Callback: success = true "Mods\Liberty.SC2Mod\Base.SC2Assets" "assets\textures\femalecivilian4portrait_static.dds"
13,808,984ms ID:000F7E96 Pr:00000000             0 +        35,392 2DBCD2793E94D8ED2FBF893AB891763B          ReleaseRequest(): Success "Mods\Liberty.SC2Mod\Base.SC2Assets" "assets\textures\femalecivilian4portrait_static.dds"
13,864,796ms ID:000F7E97 Pr:01040000             0 +     2,390,507 8CF032F246AD6686C6B029F905E75DC7          RequestFile() "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Music\P15Part02.ogg"
13,864,796ms ID:000F7E98 Pr:01040000             0 +       637,354 3EAE2AD1FE4F31B49B1C0CE6BE134A03          RequestFile() "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Music\ZSwarm_Music_Sting1.ogg"
13,864,796ms ID:000F7E99 Pr:01040000             0 +     8,854,606 34CBEC2FFFEEDA103311B0CCDDC1C2DE          RequestFile() "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Music\MainTitleSC1-01.ogg"
13,864,796ms ID:000F7E97 Pr:01040000             0 +     2,390,507 8CF032F246AD6686C6B029F905E75DC7          ProcessUnprocessedRequests(): Request already completed "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Music\P15Part02.ogg"
13,864,796ms ID:000F7E98 Pr:01040000             0 +       637,354 3EAE2AD1FE4F31B49B1C0CE6BE134A03          ProcessUnprocessedRequests(): Request already completed "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Music\ZSwarm_Music_Sting1.ogg"
13,864,796ms ID:000F7E99 Pr:01040000             0 +     8,854,606 34CBEC2FFFEEDA103311B0CCDDC1C2DE          ProcessUnprocessedRequests(): Request already completed "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Music\MainTitleSC1-01.ogg"
13,864,796ms ID:000F7E97 Pr:01040000             0 +     2,390,507 8CF032F246AD6686C6B029F905E75DC7          ReleaseRequest(): Success "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Music\P15Part02.ogg"
13,864,796ms ID:000F7E98 Pr:01040000             0 +       637,354 3EAE2AD1FE4F31B49B1C0CE6BE134A03          ReleaseRequest(): Success "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Music\ZSwarm_Music_Sting1.ogg"
13,864,796ms ID:000F7E99 Pr:01040000             0 +     8,854,606 34CBEC2FFFEEDA103311B0CCDDC1C2DE          ReleaseRequest(): Success "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Music\MainTitleSC1-01.ogg"
13,864,796ms ID:000F7E9A Pr:01040000             0 +     2,394,728 E4B39201E63E61A26CB2305EC72061DF          RequestFile() "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Music\nDLC01_Music_Cue03.ogg"
13,864,796ms ID:000F7E9A Pr:01040000             0 +     2,394,728 E4B39201E63E61A26CB2305EC72061DF          ProcessUnprocessedRequests(): Request already completed "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Music\nDLC01_Music_Cue03.ogg"
13,864,796ms ID:000F7E9A Pr:01040000             0 +     2,394,728 E4B39201E63E61A26CB2305EC72061DF          ReleaseRequest(): Success "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Music\nDLC01_Music_Cue03.ogg"
13,864,843ms ID:000F7E9B Pr:01040000             0 +     4,860,787 D864F20DC54BA193F84C7D34E07D71C6          RequestFile() "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Music\BattleNet_MusicwithEndFade.ogg"
13,864,843ms ID:000F7E9C Pr:01040000             0 +     1,242,409 0E2F4AE7997E7C24AA5D78AE389623E3          RequestFile() "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Music\MissionMusic\Music_DarkVictory_AmbientFasterTempo.ogg"
13,864,843ms ID:000F7E9D Pr:01040000             0 +     1,859,737 82C6A5D7E7CC88ACCE7D60F3FA06B4AF          RequestFile() "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Music\MissionMusic\Music_RhythmicTensionAmbient.ogg"
13,864,843ms ID:000F7E9E Pr:01040000             0 +     3,880,373 6D0BDEEDD166B4397E3DC0A47144AD1D          RequestFile() "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Music\TerranSC2-05.ogg"
13,864,843ms ID:000F7E9F Pr:01040000             0 +     1,037,548 24539D884830CD025B2D9AC2D6825697          RequestFile() "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Music\ZSwarm_Music_01.ogg"
13,864,843ms ID:000F7EA0 Pr:01040000             0 +     3,659,695 A804E448B3625CB96647E90A93025FE9          RequestFile() "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Music\ZergSC2-08.ogg"
13,864,843ms ID:000F7E9B Pr:01040000             0 +     4,860,787 D864F20DC54BA193F84C7D34E07D71C6          ProcessUnprocessedRequests(): Request already completed "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Music\BattleNet_MusicwithEndFade.ogg"
13,864,843ms ID:000F7E9C Pr:01040000             0 +     1,242,409 0E2F4AE7997E7C24AA5D78AE389623E3          ProcessUnprocessedRequests(): Request already completed "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Music\MissionMusic\Music_DarkVictory_AmbientFasterTempo.ogg"
13,864,843ms ID:000F7E9D Pr:01040000             0 +     1,859,737 82C6A5D7E7CC88ACCE7D60F3FA06B4AF          ProcessUnprocessedRequests(): Request already completed "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Music\MissionMusic\Music_RhythmicTensionAmbient.ogg"
13,864,843ms ID:000F7E9E Pr:01040000             0 +     3,880,373 6D0BDEEDD166B4397E3DC0A47144AD1D          ProcessUnprocessedRequests(): Request already completed "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Music\TerranSC2-05.ogg"
13,864,843ms ID:000F7E9F Pr:01040000             0 +     1,037,548 24539D884830CD025B2D9AC2D6825697          ProcessUnprocessedRequests(): Request already completed "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Music\ZSwarm_Music_01.ogg"
13,864,843ms ID:000F7EA0 Pr:01040000             0 +     3,659,695 A804E448B3625CB96647E90A93025FE9          ProcessUnprocessedRequests(): Request already completed "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Music\ZergSC2-08.ogg"
13,864,843ms ID:000F7E9B Pr:01040000             0 +     4,860,787 D864F20DC54BA193F84C7D34E07D71C6          ReleaseRequest(): Success "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Music\BattleNet_MusicwithEndFade.ogg"
13,864,843ms ID:000F7E9C Pr:01040000             0 +     1,242,409 0E2F4AE7997E7C24AA5D78AE389623E3          ReleaseRequest(): Success "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Music\MissionMusic\Music_DarkVictory_AmbientFasterTempo.ogg"
13,864,843ms ID:000F7E9D Pr:01040000             0 +     1,859,737 82C6A5D7E7CC88ACCE7D60F3FA06B4AF          ReleaseRequest(): Success "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Music\MissionMusic\Music_RhythmicTensionAmbient.ogg"
13,864,843ms ID:000F7E9E Pr:01040000             0 +     3,880,373 6D0BDEEDD166B4397E3DC0A47144AD1D          ReleaseRequest(): Success "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Music\TerranSC2-05.ogg"
13,864,843ms ID:000F7E9F Pr:01040000             0 +     1,037,548 24539D884830CD025B2D9AC2D6825697          ReleaseRequest(): Success "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Music\ZSwarm_Music_01.ogg"
13,864,843ms ID:000F7EA0 Pr:01040000             0 +     3,659,695 A804E448B3625CB96647E90A93025FE9          ReleaseRequest(): Success "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Music\ZergSC2-08.ogg"
13,864,843ms ID:000F7EA1 Pr:01040000             0 +     2,876,979 B26D30625BE00B8E05FD98D41B6CC6FE          RequestFile() "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Music\ZSwarm_Music_Zerus_1.ogg"
13,864,843ms ID:000F7EA2 Pr:01040000             0 +     1,247,106 12B2066A4B03FC9AF24CFFE221F8A145          RequestFile() "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Music\ZSwarm_Music_07.ogg"
13,864,843ms ID:000F7EA3 Pr:01040000             0 +     5,344,562 90BC0EBB50EE11C54D388B21D8E818E2          RequestFile() "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Music\ZSwarm_Music_Corruptors.ogg"
13,864,843ms ID:000F7EA4 Pr:01040000             0 +     5,795,898 938F3F4B34E63C7A949E33FD843E1155          RequestFile() "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Music\SC1_Zerg1.ogg"
13,864,843ms ID:000F7EA5 Pr:01040000             0 +     1,818,895 AC6BBCCDB2D255F2EE30DDFD746F4A38          RequestFile() "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Music\ZSwarm_Music_Kaldir3_Ambient.ogg"
13,864,843ms ID:000F7EA1 Pr:01040000             0 +     2,876,979 B26D30625BE00B8E05FD98D41B6CC6FE          ProcessUnprocessedRequests(): Request already completed "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Music\ZSwarm_Music_Zerus_1.ogg"
13,864,843ms ID:000F7EA2 Pr:01040000             0 +     1,247,106 12B2066A4B03FC9AF24CFFE221F8A145          ProcessUnprocessedRequests(): Request already completed "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Music\ZSwarm_Music_07.ogg"
13,864,843ms ID:000F7EA3 Pr:01040000             0 +     5,344,562 90BC0EBB50EE11C54D388B21D8E818E2          ProcessUnprocessedRequests(): Request already completed "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Music\ZSwarm_Music_Corruptors.ogg"
13,864,843ms ID:000F7EA4 Pr:01040000             0 +     5,795,898 938F3F4B34E63C7A949E33FD843E1155          ProcessUnprocessedRequests(): Request already completed "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Music\SC1_Zerg1.ogg"
13,864,843ms ID:000F7EA5 Pr:01040000             0 +     1,818,895 AC6BBCCDB2D255F2EE30DDFD746F4A38          ProcessUnprocessedRequests(): Request already completed "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Music\ZSwarm_Music_Kaldir3_Ambient.ogg"
13,864,843ms ID:000F7EA1 Pr:01040000             0 +     2,876,979 B26D30625BE00B8E05FD98D41B6CC6FE          ReleaseRequest(): Success "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Music\ZSwarm_Music_Zerus_1.ogg"
13,864,843ms ID:000F7EA2 Pr:01040000             0 +     1,247,106 12B2066A4B03FC9AF24CFFE221F8A145          ReleaseRequest(): Success "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Music\ZSwarm_Music_07.ogg"
13,864,843ms ID:000F7EA3 Pr:01040000             0 +     5,344,562 90BC0EBB50EE11C54D388B21D8E818E2          ReleaseRequest(): Success "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Music\ZSwarm_Music_Corruptors.ogg"
13,864,843ms ID:000F7EA4 Pr:01040000             0 +     5,795,898 938F3F4B34E63C7A949E33FD843E1155          ReleaseRequest(): Success "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Music\SC1_Zerg1.ogg"
13,864,843ms ID:000F7EA5 Pr:01040000             0 +     1,818,895 AC6BBCCDB2D255F2EE30DDFD746F4A38          ReleaseRequest(): Success "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Music\ZSwarm_Music_Kaldir3_Ambient.ogg"
13,864,843ms ID:000F7EA6 Pr:01040000             0 +       804,163 711B610EFD156CF426FA74D359985774          RequestFile() "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Music\P06CinePart01.ogg"
13,864,843ms ID:000F7EA7 Pr:01040000             0 +     5,597,469 7B876FE09022F84DA28A4562BBE3BBA8          RequestFile() "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Music\ProtossSC2-02.ogg"
13,864,843ms ID:000F7EA8 Pr:01040000             0 +     1,109,881 27A745C041EB8A00A555A5B3AD4F84FA          RequestFile() "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Music\P16Part01.ogg"
13,864,843ms ID:000F7EA9 Pr:01040000             0 +     1,984,166 F898039246B63F3DE5DFC5338AE60437          RequestFile() "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Music\P05Remix.ogg"
13,864,843ms ID:000F7EA6 Pr:01040000             0 +       804,163 711B610EFD156CF426FA74D359985774          ProcessUnprocessedRequests(): Request already completed "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Music\P06CinePart01.ogg"
13,864,843ms ID:000F7EA7 Pr:01040000             0 +     5,597,469 7B876FE09022F84DA28A4562BBE3BBA8          ProcessUnprocessedRequests(): Request already completed "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Music\ProtossSC2-02.ogg"
13,864,843ms ID:000F7EA8 Pr:01040000             0 +     1,109,881 27A745C041EB8A00A555A5B3AD4F84FA          ProcessUnprocessedRequests(): Request already completed "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Music\P16Part01.ogg"
13,864,843ms ID:000F7EA9 Pr:01040000             0 +     1,984,166 F898039246B63F3DE5DFC5338AE60437          ProcessUnprocessedRequests(): Request already completed "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Music\P05Remix.ogg"
13,864,843ms ID:000F7EA6 Pr:01040000             0 +       804,163 711B610EFD156CF426FA74D359985774          ReleaseRequest(): Success "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Music\P06CinePart01.ogg"
13,864,843ms ID:000F7EA7 Pr:01040000             0 +     5,597,469 7B876FE09022F84DA28A4562BBE3BBA8          ReleaseRequest(): Success "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Music\ProtossSC2-02.ogg"
13,864,843ms ID:000F7EA8 Pr:01040000             0 +     1,109,881 27A745C041EB8A00A555A5B3AD4F84FA          ReleaseRequest(): Success "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Music\P16Part01.ogg"
13,864,843ms ID:000F7EA9 Pr:01040000             0 +     1,984,166 F898039246B63F3DE5DFC5338AE60437          ReleaseRequest(): Success "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Music\P05Remix.ogg"
